"","ID","EVENT","SDAY","EDAY","CITY","LAT","LNG","POPULARITY","TYPE"
"1",22024628,"SXSW 2015","2015-03-17","2015-03-22","Austin, TX, US",30.267153,-97.7430608,0.109542,"Festival"
"2",20292773,"Ultra Music Festival 2015","2015-03-27","2015-03-30","Miami, FL, US",25.7774008,-80.1878728,0.145608,"Festival"
"3",21622608,"Coachella 2015","2015-04-10","2015-04-12","Indio, CA, US",33.6784492,-116.237155,0.7692,"Festival"
"4",23011618,"Beale Street Music Festival 2015","2015-05-01","2015-05-03","Memphis, TN, US",35.1398763,-90.0593536,0.490969,"Festival"
"5",22658908,"CounterPoint Music & Arts Festival 2015","2015-05-22","2015-05-24","Rome, GA, US",34.257038,-85.1646726,0.12457,"Festival"
"6",22851278,"Sasquatch! Music Festival 2015","2015-05-22","2015-05-25","George, WA, US",47.0959471,-119.9826336,0.50289,"Festival"
"7",23751228,"EDC Las Vegas 2015","2015-06-19","2015-06-21","Las Vegas, NV, US",36.2698542,-115.0115494,0.569486,"Festival"
"8",21001483,"Firefly Music Festival 2015","2015-06-18","2015-06-22","Dover, DE, US",39.1883396,-75.5329563,0.635192,"Festival"
"9",22598433,"Newport Folk Festival 2015","2015-07-24","2015-07-26","Newport, RI, US",41.4788755,-71.3362241,0.23238,"Festival"
"10",22354733,"Vans Warped Tour 2015","2015-06-28","2015-06-28","San Antonio, TX, US",29.4270165,-98.4373167,0.107225,"Festival"
"11",21998268,"New Orleans Jazz & Heritage Festival 2015","2015-04-24","2015-05-03","New Orleans, LA, US",29.9843236,-90.0767323,0.658435,"Festival"
"12",22143828,"Bayou Country Superfest 2015","2015-05-23","2015-05-25","Baton Rouge, LA, US",30.413064,-91.1846995,0.167795,"Festival"
"13",23332923,"Movement Electronic Music Festival 2015","2015-05-23","2015-05-25","Detroit, MI, US",42.331427,-83.0457538,0.028079,"Festival"
"14",20826788,"Primavera Sound Festival 2015","2015-05-28","2015-05-30","Barcelona, Spain",41.3833,2.18333,0.48269,"Festival"
"15",22576873,"The Governors Ball Music Festival 2015","2015-06-05","2015-06-07","New York, NY, US",40.783766,-73.925671,0.7692,"Festival"
"16",22640928,"Bonnaroo Music Festival 2015","2015-06-11","2015-06-14","Manchester, TN, US",35.4781146,-86.0464234,0.567893,"Festival"
"17",21837283,"Northside Festival 2015","2015-06-12","2015-06-14","Aarhus, Denmark",56.15,10.2167,0.491817,"Festival"
"18",20499298,"CMA Music Festival 2015","2015-06-14","2015-06-15","Nashville, TN, US",36.166208,-86.771413,0.178847,"Festival"
"19",22168623,"SummerFest 2015","2015-06-23","2015-07-05","Milwaukee, WI, US",43.0389025,-87.9064736,0.642891,"Festival"
"20",21441583,"Lollapalooza 2015","2015-07-31","2015-08-02","Chicago, IL, US",41.8731686,-87.6205768,0.47893,"Festival"
